participant,slider.response,scale,label,item_type,item_no,correct_option,AC_correct,AC_no_correct,AC_outcome,literacy,ageResp.text,genderResp1.response,edu_slider.response,total_duration
1,0.914860681,trunc,blank,﻿E,24,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.388544892,extend,label,﻿E,45,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.751805986,trunc,blank,﻿E,8,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.98503612,trunc,label,﻿E,37,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.776573787,trunc,label,﻿E,46,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.817853457,trunc,label,﻿E,22,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.925180599,trunc,label,﻿E,1,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.508255934,extend,label,﻿E,26,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.578431373,extend,blank,﻿E,4,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.71878225,trunc,label,﻿E,17,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,1,trunc,label,﻿AC,53,1,TRUE,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.689886481,extend,blank,﻿E,19,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.642414861,trunc,label,﻿E,10,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.848813209,trunc,blank,﻿E,12,NA,NA,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,1,extend,blank,﻿AC,54,1,TRUE,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
1,0.5,trunc,blank,﻿AC,51,0.5,TRUE,6,PASS,24,21,Man,Secondary education (e.g. GED/GCSE),849.1317
